,model,run_type,MSE
0,MLP,train,0.05808942868625043
1,MLP,test,0.06927429477669332
2,Tree,train,5.82225210346941e-10
3,Tree,test,0.0009731553566212543
4,Forest,train,5.711138688954421e-05
5,Forest,test,0.00035346843280522266
6,SVM,train,0.539310520179817
7,SVM,test,0.5406499658021657
